label,text
negatif,Waktu pertama kali ku lihat dirimu hadir Rasa hati ini inginkan dirimu Hati  tenang mendengar suara indah menyapa Geloranya hati ini tak ku sangka Rasa ini tak tertahan Hati ini slalu untukmu Terimalah lagu ini dari orang biasa Tapi cintaku padamu luar biasa Aku tak punya bunga aku tak punya harta Yang kupunya hanyalah hati yang setia Tulus padamu Hari hari berganti kini cinta pun hadir Melihatmu memandangmu bagaikan bidadari Lentik indah matamu manis senyum bibirmu Hitam panjang rambutmu anggun terikat Rasa ini tak tertahan Hati ini slalu untukmu Terimalah lagu ini dari orang biasa Tapi cintaku padamu luar biasa Aku tak punya bunga aku tak punya harta Yang kupunya hanyalah hati yang setia Tulus padamu Terimalah lagu ini dari orang biasa Tapi cintaku padamu luar biasa Aku tak punya bunga aku tak punya harta Yang kupunya hanyalah hati yang setia Tulus padamu
negatif,"Lama sudah ku menanti Banyak cinta datang dan pergi Tapi tak pernah aku senyaman ini Mungkin dirimulah cinta sejati Tak akan kuragu lagi Kujaga sampai ke ujung nadi Takkan kusia siakan lagi Buat hidupku lebih berarti Cintamu senyaman mentari pagi Seperti pelangi, slalu kunanti Cintamu tak akan pernah terganti Selamanya di hati Aku bahagia, milikimu seutuhnya Tak akan kuragu lagi Kujaga sampai ke ujung nadi Takkan kusia siakan lagi Buat hidupku lebih berarti Cintamu senyaman mentari pagi Seperti pelangi, slalu kunanti Cintamu tak akan pernah terganti Selamanya di hati Aku bahagia, milikimu seutuhnya Takkan kusia siakan lagi Buat hidupku lebih berarti Cintamu senyaman mentari pagi Seperti pelangi, slalu kunanti Cintamu tak akan pernah terganti Selamanya di hati Aku bahagia, milikimu seutuhnya Cintamu senyaman mentari pagi Seperti pelangi, slalu kunanti Cintamu tak akan pernah terganti Selamanya di hati Aku bahagia, milikimu seutuhnya Aku bahagia, milikimu seutuhnya Aku bahagia, milikimu seutuhnya"
negatif,"Kuingin saat ini, engkau ada di disini Tertawa bersamaku, seperti dulu lagi Walau hanya sebentar, Tuhan tolong kabulkanlah Bukannya diri ini tak terima kenyataan Hati Ini Hanya Rindu Segala cara telah kucoba Agar aku bisa tanpa dirimu Namun semua, berbeda Sulitku menghapus kenangan bersamamu Kuingin saat ini, engkau ada di disini Tertawa bersamaku, seperti dulu lagi Walau hanya sebentar, Tuhan tolong kabulkanlah Bukannya diri ini tak terima kenyataan Hati Ini Hanya Rindu Hanya Rindu Kuingin saat ini, engkau ada di disini Tertawa bersamaku, seperti dulu lagi Walau hanya sebentar, Tuhan tolong kabulkanlah Bukannya diri ini tak terima kenyataan Bukannya diri ini tak terima kenyataan Hati Ini Hanya Rindu Hati Ini Hanya Rindu Kurindu senyummu Ibu"
negatif,"Kurasa ku sedang jatuh cinta Karena rasanya ini berbeda Oh, apakah ini memang cinta Selalu berbeda saat menatapnya Mengapa aku begini Hilang berani dekat denganmu Ingin ku memilikimu Tapi aku tak tahu Bagaimana caranya Tolong katakan pada dirinya Lagu ini kutuliskan untuknya Namanya selalu kusebut dalam doa Sampai aku mampu Ucap Maukah denganku Kurasa ku sedang jatuh cinta Karna rasanya ini berbeda Oh, apakah ini memang cinta Selalu berbeda saat menatapnya Di sini aku berdiri Menanti waktu yang tepat Hingga akhirnya kumampu Katakan padamu Tolong katakan pada dirinya Lagu ini kutuliskan untuknya Namanya selalu kusebut dalam doa Mungkinkah dia tahu Cinta yang kumau? Tolong katakan pada dirinya Lagu ini kutuliskan untuknya Namanya selalu kusebut dalam doa Sampai aku mampu Ucap Maukah denganku Maukah kau dengan aku"
positif,"Dering telponku membuatku tersenyum di pagi hari Kau bercerita semalam kita bertemu dalam mimpi Entah mengapa aku merasakan hadirmu di sini Tawa candamu menghibur saat ku sendiri Aku di sini dan kau di sana Hanya berjumpa via suara Namun ku slalu menunggu Saat kita akan berjumpa Meski kau kini jauh di sana Kita memandang langit yang sama Jauh di mata namun dekat di hati Dering telfonku membuatku tersenyum di pagi hari Tawa candamu menghibur saat ku sendiri Aku di sini dan kau di sana Hanya berjumpa via suara Namun ku selalu menunggu Saat kita akan berjumpa Meski kau kini jauh di sana Kita memandang langit yang sama Jauh di mata namun dekat di hati Aku di sini dan kau di sana Hanya berjumpa via suara Namun ku selalu menunggu Saat kita akan berjumpa Meski kau kini jauh di sana Kita memandang langit yang sama Jauh di mata namun kau dekat di hati Jarak dan waktu takkan berarti Karena kau akan selalu di hati Bagai detak jantung yang ku bawa Kemanapun ku pergi oh oh oh Meski kau kini jauh di sana Kita memandang langit yang sama Jauh di mata namun dekat di hati Dekat di hati, dekat di hati"
positif,"Waktu itu kamu pakai baju merah Yang kutahu aku pakai baju putih Kita bergandengan menyusuri kota Dan cinta kita seperti Indonesia Walau kini kau ada di Wakatobi Yang jelas-jelas aku di Raja Ampat Luasnya lautan memisahkan kita Oh, indahnya bercinta di Nusantara Kita sepakat bila Rasa yang sesungguhnya Tak mudah didapat Perlu ada pengorbanan Perlu ada perjuangan Seperti pahlawan Kita tulis cerita Yang takkan kita lupa Bersama di bawah langit senja Kita nyatakan saja pada mereka Lewat sebuah lagu Asmara kau dan aku Di bumi khatulistiwa Kita sepakat bila Rasa yang sesungguhnya Tak mudah didapat Perlu ada pengorbanan Perlu ada perjuangan Seperti pahlawan Kita tulis cerita Yang takkan kita lupa Bersama di bawah langit senja Kita nyatakan saja pada mereka Dengan sebuah lagu Kita tulis cerita Yang takkan kita lupa Bersama di bawah langit senja Di mana kita nyatakan saja pada mereka Lewat sebuah lagu Asmara kau dan aku Di bumi yang indah Di khatulistiwa"
positif,"Waktu itu kamu pakai baju merah Yang kutahu aku pakai baju putih Kita bergandengan menyusuri kota Dan cinta kita seperti Indonesia Walau kini kau ada di Wakatobi Yang jelas-jelas aku di Raja Ampat Luasnya lautan memisahkan kita Oh, indahnya bercinta di Nusantara Kita sepakat bila Rasa yang sesungguhnya Tak mudah didapat Perlu ada pengorbanan Perlu ada perjuangan Seperti pahlawan Kita tulis cerita Yang takkan kita lupa Bersama di bawah langit senja Kita nyatakan saja pada mereka Lewat sebuah lagu Asmara kau dan aku Di bumi khatulistiwa Kita sepakat bila Rasa yang sesungguhnya Tak mudah didapat Perlu ada pengorbanan Perlu ada perjuangan Seperti pahlawan Kita tulis cerita Yang takkan kita lupa Bersama di bawah langit senja Kita nyatakan saja pada mereka Dengan sebuah lagu Kita tulis cerita Yang takkan kita lupa Bersama di bawah langit senja Di mana kita nyatakan saja pada mereka Lewat sebuah lagu Asmara kau dan aku Di bumi yang indah Di khatulistiwa"
positif,Senyumanmu yang indah bagaikan candu Ingin trus kulihat walau Ku berandai Kau disini Mengobati rindu ruai Dalam sunyi Kusendiri meratapi Perasaan yang tak jua didengar Tak kan apa Bila rasa ini tumbuh sendirinya Tak berdaya Diri bila diantara Walau itu hanya bayang-bayangmu Senyumanmu yang indah bagaikan candu Ingin trus kulihat walau dari jauh Sekarang aku pun sadari semua hanya mimpiku Yang berkhayal akan bisa bersamamu Senyumanmu yang indah bagaikan candu Ingin trus kulihat walau dari jauh Sekarang aku pun sadari semua hanya mimpiku Yang berkhayal akan bisa bersamamu Senyumanmu yang indah bagaikan candu Ingin trus kulihat walau dari jauh Sekarang aku pun sadari semua hanya mimpiku Yang berkhayal akan bisa bersamamu Dihampiri seribu ragu Hanya membisu Dihampiri seribu ragu Hanya membisu Ku berkhayal
positif,"Aku kesal dengan jarak yang sering memisahkan kita Aku kesal dengan waktu yang tak pernah berhenti bergerak Barang sejenak agar aku bisa menikmati tawamu Inginku berdiri di sebelahmu Menggenggam erat jari-jarimu Mendengarkan lagu sheila on 7 Seperti waktu itu Saat kau di sisiku Dan tunggulah aku di sana memecahkan celengan rinduku Berboncengan denganmu mengelilingi kota Menikmati surya perlahan menghilang Hingga kejamnya waktu menarik paksa kau dari pelukku Lalu kita kembali menabung rasa rindu, saling mengirim doa Sampai nanti sayangku Jangan matikan HP-mu Kau tahu aku benci khawatir Saat kau tak mengabari Aku tak suka bertanya-tanya Inginku bakar dia yang sering Mention mentionan denganmu di Twitter Namun kau selalu menyakinkanku tuk tumbuhkan percaya Bukan rasa curiga Dan tunggulah aku di sana memecahkan celengan rinduku Berboncengan denganmu mengelilingi kota Menikmati surya perlahan menghilang Hingga kejamnya waktu menarik paksa kau dari pelukku Lalu kita kembali menabung rasa rindu saling mengirim doa Sampai nanti sayangku Hingga kita bertemu"
positif,Jangan tanyakan perasaanku Jika kau pun tak bisa beralih Dari masa lalu yang menghantuimu Karena sungguh ini tidak adil Bukan maksudku menyakitimu Namun tak mudah tuk melupakan Cerita panjang yang pernah aku lalui Tolong yakinkan saja raguku Pergi saja engkau pergi dariku Biar kubunuh perasaan untukmu Meski berat melangkah Hatiku hanya tak siap terluka Beri kisah kita sedikit waktu Semesta mengirim dirimu untukku Kita adalah rasa yang tepat Di waktu yang salah Hidup memang sebuah pilihan Tapi hati bukan 'tuk dipilih Bila hanya setengah dirimu hadir Dan setengah lagi untuk dia Pergi saja engkau pergi dariku Biar kubunuh perasaan untukmu Meski berat melangkah Hatiku hanya tak siap terluka Beri kisah kita sedikit waktu Semesta mengirim dirimu untukku Kita adalah rasa yang tepat Di waktu yang salah Bukan ini yang kumau Lalu untuk apa kau dating Rindu tak bisa diatur Kita tak pernah mengertiKau dan aku menyakitkan Pergi saja engkau pergi dariku Biar kubunuh perasaan untukmu Meski berat melangkah Hatiku hanya tak siap terluka Beri kisah kita sedikit waktu Semesta mengirim dirimu untukku Kita adalah rasa yang tepat Di waktu yang salah Di waktu yang salah
